               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  86,           0.0079336,           0.0017972,                   0,             0.99996,             0.99931,               0.995,             0.96963,           0.0046044,           0.0010745,                   0,            0.001585,            0.001585,            0.001585
                  87,           0.0079091,           0.0017554,                   0,             0.99995,             0.99931,               0.995,             0.96944,           0.0045915,           0.0010704,                   0,            0.001486,            0.001486,            0.001486
                  88,           0.0077983,           0.0017605,                   0,             0.99996,             0.99931,               0.995,             0.96952,           0.0045827,           0.0010666,                   0,            0.001387,            0.001387,            0.001387
                  89,           0.0076741,           0.0017473,                   0,             0.99996,             0.99931,               0.995,             0.96978,           0.0045716,           0.0010631,                   0,            0.001288,            0.001288,            0.001288
                  90,           0.0076297,           0.0017235,                   0,             0.99996,             0.99931,               0.995,             0.96978,           0.0045622,           0.0010597,                   0,            0.001189,            0.001189,            0.001189
                  91,           0.0075425,           0.0016953,                   0,             0.99996,             0.99931,               0.995,             0.96991,           0.0045517,           0.0010566,                   0,             0.00109,             0.00109,             0.00109
                  92,           0.0075113,           0.0017003,                   0,             0.99996,             0.99931,               0.995,             0.97018,           0.0045425,           0.0010537,                   0,            0.000991,            0.000991,            0.000991
                  93,           0.0073902,            0.001669,                   0,             0.99996,             0.99931,               0.995,             0.97023,           0.0045347,            0.001051,                   0,            0.000892,            0.000892,            0.000892
                  94,            0.007238,           0.0016495,                   0,             0.99997,             0.99931,               0.995,             0.97072,           0.0045255,            0.001048,                   0,            0.000793,            0.000793,            0.000793
                  95,           0.0071901,            0.001652,                   0,             0.99997,             0.99931,               0.995,             0.97023,           0.0045169,           0.0010452,                   0,            0.000694,            0.000694,            0.000694
                  96,           0.0071203,           0.0016533,                   0,             0.99997,             0.99931,               0.995,             0.97081,           0.0045084,           0.0010422,                   0,            0.000595,            0.000595,            0.000595
                  97,           0.0069876,           0.0016302,                   0,             0.99997,             0.99931,               0.995,             0.97089,           0.0044995,           0.0010395,                   0,            0.000496,            0.000496,            0.000496
                  98,           0.0068631,           0.0016039,                   0,             0.99997,             0.99931,               0.995,             0.97064,           0.0044935,            0.001037,                   0,            0.000397,            0.000397,            0.000397
                  99,           0.0067823,           0.0015896,                   0,             0.99997,             0.99931,               0.995,             0.97122,           0.0044867,           0.0010345,                   0,            0.000298,            0.000298,            0.000298
